run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring32_e2.5_dirichlet_g1.25_L20_s0,32,16,dirichlet,1.25,20,2,2.5,32,0,0.582,0.61,0.2,48,0,-1
ring32_e2.5_dirichlet_g1.25_L24_s0,32,16,dirichlet,1.25,24,2,2.5,32,0,1.0,1.0,0.2,41,0,-1
ring32_e2.5_dirichlet_g1.25_L28_s0,32,16,dirichlet,1.25,28,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring32_e2.5_dirichlet_g1.25_L32_s0,32,16,dirichlet,1.25,32,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring32_e2.5_uniform_g1.25_L20_s0,32,16,uniform,1.25,20,2,2.5,32,0,0.232,0.21,0.2,280,0,-1
ring32_e2.5_uniform_g1.25_L24_s0,32,16,uniform,1.25,24,2,2.5,32,0,0.232,0.21,0.2,238,0,-1
ring32_e2.5_uniform_g1.25_L28_s0,32,16,uniform,1.25,28,2,2.5,32,0,0.436,0.398,0.2,87,0,-1
ring32_e2.5_uniform_g1.25_L32_s0,32,16,uniform,1.25,32,2,2.5,32,0,0.432,0.418,0.2,113,0,-1
ring32_e2.5_fejer_g1.25_L20_s0,32,16,fejer,1.25,20,2,2.5,32,0,0.414,0.41,0.2,31,0,-1
ring32_e2.5_fejer_g1.25_L24_s0,32,16,fejer,1.25,24,2,2.5,32,0,0.586,0.59,0.2,299,0,-1
ring32_e2.5_fejer_g1.25_L28_s0,32,16,fejer,1.25,28,2,2.5,32,0,1.0,1.0,0.2,100,0,-1
ring32_e2.5_fejer_g1.25_L32_s0,32,16,fejer,1.25,32,2,2.5,32,0,0.786,0.798,0.2,116,0,-1
