run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e2.5_dirichlet_g0.01_L12_s1,24,12,dirichlet,0.01,12,2,2.5,32,1,0.224,0.216,0.2,128,0,-1
ring24_e2.5_dirichlet_g0.01_L14_s1,24,12,dirichlet,0.01,14,2,2.5,32,1,0.224,0.216,0.2,292,0,-1
ring24_e2.5_dirichlet_g0.01_L16_s1,24,12,dirichlet,0.01,16,2,2.5,32,1,0.224,0.216,0.2,177,0,-1
ring24_e2.5_dirichlet_g0.01_L20_s1,24,12,dirichlet,0.01,20,2,2.5,32,1,0.224,0.216,0.2,134,0,-1
ring24_e2.5_uniform_g1.25_L12_s1,24,12,uniform,1.25,12,2,2.5,32,1,0.224,0.216,0.2,128,0,-1
ring24_e2.5_uniform_g1.25_L14_s1,24,12,uniform,1.25,14,2,2.5,32,1,0.224,0.216,0.2,218,0,-1
ring24_e2.5_uniform_g1.25_L16_s1,24,12,uniform,1.25,16,2,2.5,32,1,0.416,0.416,0.2,91,0,-1
ring24_e2.5_uniform_g1.25_L20_s1,24,12,uniform,1.25,20,2,2.5,32,1,0.402,0.384,0.2,21,0,-1
ring24_e2.5_fejer_g1.25_L12_s1,24,12,fejer,1.25,12,2,2.5,32,1,0.42,0.392,0.2,51,0,-1
ring24_e2.5_fejer_g1.25_L14_s1,24,12,fejer,1.25,14,2,2.5,32,1,0.43,0.424,0.2,136,0,-1
ring24_e2.5_fejer_g1.25_L16_s1,24,12,fejer,1.25,16,2,2.5,32,1,1.0,1.0,0.2,70,0,-1
ring24_e2.5_fejer_g1.25_L20_s1,24,12,fejer,1.25,20,2,2.5,32,1,1.0,1.0,0.2,299,0,-1
