run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring32_e2.5_dirichlet_g0.01_L20_s1,32,16,dirichlet,0.01,20,2,2.5,32,1,0.224,0.216,0.2,134,0,-1
ring32_e2.5_dirichlet_g0.01_L24_s1,32,16,dirichlet,0.01,24,2,2.5,32,1,0.224,0.216,0.2,104,0,-1
ring32_e2.5_dirichlet_g0.01_L28_s1,32,16,dirichlet,0.01,28,2,2.5,32,1,0.224,0.216,0.2,39,0,-1
ring32_e2.5_uniform_g1.25_L20_s1,32,16,uniform,1.25,20,2,2.5,32,1,0.224,0.216,0.2,134,0,-1
ring32_e2.5_uniform_g1.25_L24_s1,32,16,uniform,1.25,24,2,2.5,32,1,0.224,0.216,0.2,104,0,-1
ring32_e2.5_uniform_g1.25_L28_s1,32,16,uniform,1.25,28,2,2.5,32,1,0.224,0.216,0.2,48,0,-1
ring32_e2.5_fejer_g1.25_L20_s1,32,16,fejer,1.25,20,2,2.5,32,1,0.37,0.4,0.2,61,0,-1
ring32_e2.5_fejer_g1.25_L24_s1,32,16,fejer,1.25,24,2,2.5,32,1,0.58,0.608,0.2,48,0,-1
ring32_e2.5_fejer_g1.25_L28_s1,32,16,fejer,1.25,28,2,2.5,32,1,0.804,0.824,0.2,36,0,-1
