run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e2.5_dirichlet_g0.01_L6_s0,24,12,dirichlet,0.01,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring24_e2.5_dirichlet_g0.01_L8_s0,24,12,dirichlet,0.01,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.5_dirichlet_g0.01_L10_s0,24,12,dirichlet,0.01,10,2,2.5,32,0,0.232,0.21,0.2,59,0,-1
ring24_e2.5_dirichlet_g0.01_L12_s0,24,12,dirichlet,0.01,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.5_dirichlet_g0.01_L14_s0,24,12,dirichlet,0.01,14,2,2.5,32,0,0.232,0.21,0.2,277,0,-1
ring24_e2.5_dirichlet_g0.01_L16_s0,24,12,dirichlet,0.01,16,2,2.5,32,0,0.232,0.21,0.2,39,0,-1
ring24_e2.5_dirichlet_g0.01_L20_s0,24,12,dirichlet,0.01,20,2,2.5,32,0,0.382,0.402,0.2,79,0,-1
ring24_e2.5_uniform_g1.25_L6_s0,24,12,uniform,1.25,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring24_e2.5_uniform_g1.25_L8_s0,24,12,uniform,1.25,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.5_uniform_g1.25_L10_s0,24,12,uniform,1.25,10,2,2.5,32,0,0.232,0.21,0.2,59,0,-1
ring24_e2.5_uniform_g1.25_L12_s0,24,12,uniform,1.25,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring24_e2.5_uniform_g1.25_L14_s0,24,12,uniform,1.25,14,2,2.5,32,0,0.232,0.21,0.2,2,0,-1
ring24_e2.5_uniform_g1.25_L16_s0,24,12,uniform,1.25,16,2,2.5,32,0,0.414,0.41,0.2,73,0,-1
ring24_e2.5_uniform_g1.25_L20_s0,24,12,uniform,1.25,20,2,2.5,32,0,0.586,0.59,0.2,39,0,-1
ring24_e2.5_fejer_g1.25_L6_s0,24,12,fejer,1.25,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring24_e2.5_fejer_g1.25_L8_s0,24,12,fejer,1.25,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring24_e2.5_fejer_g1.25_L10_s0,24,12,fejer,1.25,10,2,2.5,32,0,0.232,0.21,0.2,59,0,-1
ring24_e2.5_fejer_g1.25_L12_s0,24,12,fejer,1.25,12,2,2.5,32,0,0.382,0.402,0.2,149,0,-1
ring24_e2.5_fejer_g1.25_L14_s0,24,12,fejer,1.25,14,2,2.5,32,0,0.564,0.602,0.2,219,0,-1
ring24_e2.5_fejer_g1.25_L16_s0,24,12,fejer,1.25,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e2.5_fejer_g1.25_L20_s0,24,12,fejer,1.25,20,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
