run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring16_e2.5_dirichlet_g0.01_L2_s0,16,8,dirichlet,0.01,2,2,2.5,32,0,0.232,0.21,0.2,134,0,-1
ring16_e2.5_dirichlet_g0.01_L4_s0,16,8,dirichlet,0.01,4,2,2.5,32,0,0.232,0.21,0.2,270,0,-1
ring16_e2.5_dirichlet_g0.01_L6_s0,16,8,dirichlet,0.01,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring16_e2.5_dirichlet_g0.01_L8_s0,16,8,dirichlet,0.01,8,2,2.5,32,0,0.446,0.412,0.2,70,0,-1
ring16_e2.5_dirichlet_g0.01_L10_s0,16,8,dirichlet,0.01,10,2,2.5,32,0,0.786,0.798,0.2,117,0,-1
ring16_e2.5_dirichlet_g0.01_L12_s0,16,8,dirichlet,0.01,12,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_dirichlet_g0.01_L16_s0,16,8,dirichlet,0.01,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_uniform_g1.25_L2_s0,16,8,uniform,1.25,2,2,2.5,32,0,0.232,0.21,0.2,181,0,-1
ring16_e2.5_uniform_g1.25_L4_s0,16,8,uniform,1.25,4,2,2.5,32,0,0.232,0.21,0.2,0,0,-1
ring16_e2.5_uniform_g1.25_L6_s0,16,8,uniform,1.25,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring16_e2.5_uniform_g1.25_L8_s0,16,8,uniform,1.25,8,2,2.5,32,0,0.582,0.61,0.2,70,0,-1
ring16_e2.5_uniform_g1.25_L10_s0,16,8,uniform,1.25,10,2,2.5,32,0,0.618,0.598,0.2,57,0,-1
ring16_e2.5_uniform_g1.25_L12_s0,16,8,uniform,1.25,12,2,2.5,32,0,0.646,0.62,0.2,23,0,-1
ring16_e2.5_uniform_g1.25_L16_s0,16,8,uniform,1.25,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L2_s0,16,8,fejer,1.25,2,2,2.5,32,0,0.232,0.21,0.2,181,0,-1
ring16_e2.5_fejer_g1.25_L4_s0,16,8,fejer,1.25,4,2,2.5,32,0,0.232,0.21,0.2,270,0,-1
ring16_e2.5_fejer_g1.25_L6_s0,16,8,fejer,1.25,6,2,2.5,32,0,0.232,0.21,0.2,48,0,-1
ring16_e2.5_fejer_g1.25_L8_s0,16,8,fejer,1.25,8,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L10_s0,16,8,fejer,1.25,10,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L12_s0,16,8,fejer,1.25,12,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L16_s0,16,8,fejer,1.25,16,2,2.5,32,0,1.0,1.0,0.2,299,0,-1
