run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring16_e2.5_dirichlet_g0.01_L2_s1,16,8,dirichlet,0.01,2,2,2.5,32,1,0.224,0.216,0.2,264,0,-1
ring16_e2.5_dirichlet_g0.01_L4_s1,16,8,dirichlet,0.01,4,2,2.5,32,1,0.224,0.216,0.2,55,0,-1
ring16_e2.5_dirichlet_g0.01_L6_s1,16,8,dirichlet,0.01,6,2,2.5,32,1,0.224,0.216,0.2,251,0,-1
ring16_e2.5_dirichlet_g0.01_L8_s1,16,8,dirichlet,0.01,8,2,2.5,32,1,0.37,0.4,0.2,24,0,-1
ring16_e2.5_dirichlet_g0.01_L10_s1,16,8,dirichlet,0.01,10,2,2.5,32,1,1.0,1.0,0.2,87,0,-1
ring16_e2.5_dirichlet_g0.01_L12_s1,16,8,dirichlet,0.01,12,2,2.5,32,1,0.794,0.792,0.2,111,0,-1
ring16_e2.5_dirichlet_g0.01_L16_s1,16,8,dirichlet,0.01,16,2,2.5,32,1,0.794,0.792,0.2,31,0,-1
ring16_e2.5_uniform_g1.25_L2_s1,16,8,uniform,1.25,2,2,2.5,32,1,0.224,0.216,0.2,264,0,-1
ring16_e2.5_uniform_g1.25_L4_s1,16,8,uniform,1.25,4,2,2.5,32,1,0.224,0.216,0.2,55,0,-1
ring16_e2.5_uniform_g1.25_L6_s1,16,8,uniform,1.25,6,2,2.5,32,1,0.224,0.216,0.2,251,0,-1
ring16_e2.5_uniform_g1.25_L8_s1,16,8,uniform,1.25,8,2,2.5,32,1,0.224,0.216,0.2,144,0,-1
ring16_e2.5_uniform_g1.25_L10_s1,16,8,uniform,1.25,10,2,2.5,32,1,0.37,0.4,0.2,54,0,-1
ring16_e2.5_uniform_g1.25_L12_s1,16,8,uniform,1.25,12,2,2.5,32,1,0.612,0.592,0.2,23,0,-1
ring16_e2.5_uniform_g1.25_L16_s1,16,8,uniform,1.25,16,2,2.5,32,1,0.57,0.576,0.2,7,0,-1
ring16_e2.5_fejer_g1.25_L2_s1,16,8,fejer,1.25,2,2,2.5,32,1,0.224,0.216,0.2,264,0,-1
ring16_e2.5_fejer_g1.25_L4_s1,16,8,fejer,1.25,4,2,2.5,32,1,0.224,0.216,0.2,55,0,-1
ring16_e2.5_fejer_g1.25_L6_s1,16,8,fejer,1.25,6,2,2.5,32,1,0.224,0.216,0.2,251,0,-1
ring16_e2.5_fejer_g1.25_L8_s1,16,8,fejer,1.25,8,2,2.5,32,1,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L10_s1,16,8,fejer,1.25,10,2,2.5,32,1,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L12_s1,16,8,fejer,1.25,12,2,2.5,32,1,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L16_s1,16,8,fejer,1.25,16,2,2.5,32,1,1.0,1.0,0.2,299,0,-1
