run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring32_e2.5_dirichlet_g0.01_L8_s0,32,16,dirichlet,0.01,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring32_e2.5_dirichlet_g0.01_L12_s0,32,16,dirichlet,0.01,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring32_e2.5_dirichlet_g0.01_L16_s0,32,16,dirichlet,0.01,16,2,2.5,32,0,0.232,0.21,0.2,39,0,-1
ring32_e2.5_dirichlet_g0.01_L20_s0,32,16,dirichlet,0.01,20,2,2.5,32,0,0.232,0.21,0.2,242,0,-1
ring32_e2.5_dirichlet_g0.01_L24_s0,32,16,dirichlet,0.01,24,2,2.5,32,0,0.232,0.21,0.2,238,0,-1
ring32_e2.5_dirichlet_g0.01_L28_s0,32,16,dirichlet,0.01,28,2,2.5,32,0,0.232,0.21,0.2,214,0,-1
ring32_e2.5_uniform_g1.25_L8_s0,32,16,uniform,1.25,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring32_e2.5_uniform_g1.25_L12_s0,32,16,uniform,1.25,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring32_e2.5_uniform_g1.25_L16_s0,32,16,uniform,1.25,16,2,2.5,32,0,0.232,0.21,0.2,39,0,-1
ring32_e2.5_uniform_g1.25_L20_s0,32,16,uniform,1.25,20,2,2.5,32,0,0.232,0.21,0.2,280,0,-1
ring32_e2.5_uniform_g1.25_L24_s0,32,16,uniform,1.25,24,2,2.5,32,0,0.232,0.21,0.2,238,0,-1
ring32_e2.5_uniform_g1.25_L28_s0,32,16,uniform,1.25,28,2,2.5,32,0,0.436,0.398,0.2,87,0,-1
ring32_e2.5_fejer_g1.25_L8_s0,32,16,fejer,1.25,8,2,2.5,32,0,0.232,0.21,0.2,299,0,-1
ring32_e2.5_fejer_g1.25_L12_s0,32,16,fejer,1.25,12,2,2.5,32,0,0.232,0.21,0.2,74,0,-1
ring32_e2.5_fejer_g1.25_L16_s0,32,16,fejer,1.25,16,2,2.5,32,0,0.232,0.21,0.2,39,0,-1
ring32_e2.5_fejer_g1.25_L20_s0,32,16,fejer,1.25,20,2,2.5,32,0,0.414,0.41,0.2,31,0,-1
ring32_e2.5_fejer_g1.25_L24_s0,32,16,fejer,1.25,24,2,2.5,32,0,0.586,0.59,0.2,299,0,-1
ring32_e2.5_fejer_g1.25_L28_s0,32,16,fejer,1.25,28,2,2.5,32,0,1.0,1.0,0.2,100,0,-1
