run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e3.0_dirichlet_g0.01_L8_s0,24,12,dirichlet,0.01,8,2,3.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e3.0_dirichlet_g0.01_L12_s0,24,12,dirichlet,0.01,12,2,3.0,32,0,0.232,0.21,0.2,74,0,-1
ring24_e3.0_dirichlet_g0.01_L16_s0,24,12,dirichlet,0.01,16,2,3.0,32,0,0.232,0.21,0.2,39,0,-1
ring24_e3.0_dirichlet_g0.01_L20_s0,24,12,dirichlet,0.01,20,2,3.0,32,0,0.432,0.418,0.2,63,0,-1
ring24_e3.0_dirichlet_g0.01_L24_s0,24,12,dirichlet,0.01,24,2,3.0,32,0,1.0,1.0,0.2,29,0,-1
ring24_e3.0_uniform_g1.25_L8_s0,24,12,uniform,1.25,8,2,3.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e3.0_uniform_g1.25_L12_s0,24,12,uniform,1.25,12,2,3.0,32,0,0.232,0.21,0.2,74,0,-1
ring24_e3.0_uniform_g1.25_L16_s0,24,12,uniform,1.25,16,2,3.0,32,0,0.232,0.21,0.2,16,0,-1
ring24_e3.0_uniform_g1.25_L20_s0,24,12,uniform,1.25,20,2,3.0,32,0,0.796,0.812,0.2,50,0,-1
ring24_e3.0_uniform_g1.25_L24_s0,24,12,uniform,1.25,24,2,3.0,32,0,0.232,0.21,0.2,17,0,-1
ring24_e3.0_fejer_g1.25_L8_s0,24,12,fejer,1.25,8,2,3.0,32,0,0.232,0.21,0.2,299,0,-1
ring24_e3.0_fejer_g1.25_L12_s0,24,12,fejer,1.25,12,2,3.0,32,0,0.35,0.4,0.2,69,0,-1
ring24_e3.0_fejer_g1.25_L16_s0,24,12,fejer,1.25,16,2,3.0,32,0,0.564,0.602,0.2,17,0,-1
ring24_e3.0_fejer_g1.25_L20_s0,24,12,fejer,1.25,20,2,3.0,32,0,1.0,1.0,0.2,299,0,-1
ring24_e3.0_fejer_g1.25_L24_s0,24,12,fejer,1.25,24,2,3.0,32,0,1.0,1.0,0.2,299,0,-1
