run,kernel,gamma,seed,epoch,layer0,layer1,layer2,max_layer
p1_fejer_g1.0_s99,fejer,1.0,99,0,3.1389129161834717,3.1132357120513916,3.0834715366363525,3.1389129161834717
p1_fejer_g1.0_s99,fejer,1.0,99,50,26.189369201660156,25.07865333557129,21.115800857543945,26.189369201660156
p1_fejer_g1.0_s99,fejer,1.0,99,100,26.53388214111328,26.047807693481445,21.05686378479004,26.53388214111328
p1_fejer_g1.0_s99,fejer,1.0,99,199,26.512130737304688,26.12545394897461,20.918087005615234,26.512130737304688
p1_fejer_g2.2_s99,fejer,2.2,99,0,5.234129428863525,5.2147698402404785,5.196186542510986,5.234129428863525
p1_fejer_g2.2_s99,fejer,2.2,99,50,27.936208724975586,24.00555419921875,22.339406967163086,27.936208724975586
p1_fejer_g2.2_s99,fejer,2.2,99,100,28.356250762939453,25.167430877685547,22.682090759277344,28.356250762939453
p1_fejer_g2.2_s99,fejer,2.2,99,199,28.363590240478516,25.30319595336914,22.59593391418457,28.363590240478516
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,0,2.941438674926758,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,50,26.34766960144043,26.12579917907715,21.75196075439453,26.34766960144043
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,100,28.095806121826172,31.821409225463867,24.799543380737305,31.821409225463867
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,199,28.111177444458008,32.940399169921875,24.8125,32.940399169921875
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,0,2.93436598777771,2.9107978343963623,2.991063117980957,2.991063117980957
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,50,24.401063919067383,24.373140335083008,22.312267303466797,24.401063919067383
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,100,24.916366577148438,26.469242095947266,23.038860321044922,26.469242095947266
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,199,24.956018447875977,26.815637588500977,22.862525939941406,26.815637588500977
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,0,4.462793827056885,4.4427409172058105,4.421952724456787,4.462793827056885
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,50,26.02694320678711,27.12840461730957,20.609363555908203,27.12840461730957
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,100,26.738414764404297,28.94536018371582,21.150312423706055,28.94536018371582
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,199,26.707366943359375,29.103763580322266,21.027278900146484,29.103763580322266
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,0,9.307576179504395,9.29082202911377,9.278538703918457,9.307576179504395
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,50,24.833728790283203,28.514293670654297,26.23919677734375,28.514293670654297
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,100,25.638078689575195,30.553237915039062,27.093889236450195,30.553237915039062
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,199,25.600509643554688,30.789592742919922,27.039379119873047,30.789592742919922
p1_uniform_g0.0_s99,uniform,0.0,99,0,2.9414384365081787,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_uniform_g0.0_s99,uniform,0.0,99,50,25.50506591796875,26.450668334960938,22.481693267822266,26.450668334960938
p1_uniform_g0.0_s99,uniform,0.0,99,100,25.7703914642334,28.134662628173828,23.009532928466797,28.134662628173828
p1_uniform_g0.0_s99,uniform,0.0,99,199,25.734560012817383,28.293048858642578,22.918195724487305,28.293048858642578
p1_uniform_g0.1_s99,uniform,0.1,99,0,2.926511764526367,2.8988759517669678,2.976325035095215,2.976325035095215
p1_uniform_g0.1_s99,uniform,0.1,99,50,25.646265029907227,24.19230842590332,19.520235061645508,25.646265029907227
p1_uniform_g0.1_s99,uniform,0.1,99,100,26.014976501464844,25.308921813964844,19.53780174255371,26.014976501464844
p1_uniform_g0.1_s99,uniform,0.1,99,199,26.02178192138672,25.435760498046875,19.46954345703125,26.02178192138672
p1_uniform_g1.0_s99,uniform,1.0,99,0,2.8209359645843506,2.792168140411377,2.872164249420166,2.872164249420166
p1_uniform_g1.0_s99,uniform,1.0,99,50,26.315393447875977,26.241323471069336,23.140939712524414,26.315393447875977
p1_uniform_g1.0_s99,uniform,1.0,99,100,26.998804092407227,28.019010543823242,23.543136596679688,28.019010543823242
p1_uniform_g1.0_s99,uniform,1.0,99,199,27.007169723510742,28.143688201904297,23.24635887145996,28.143688201904297
p1_uniform_g2.2_s99,uniform,2.2,99,0,2.7670717239379883,2.7376983165740967,2.819058656692505,2.819058656692505
p1_uniform_g2.2_s99,uniform,2.2,99,50,23.812803268432617,26.047040939331055,23.74159049987793,26.047040939331055
p1_uniform_g2.2_s99,uniform,2.2,99,100,24.05060577392578,26.809356689453125,23.662090301513672,26.809356689453125
p1_uniform_g2.2_s99,uniform,2.2,99,199,24.061307907104492,26.84423065185547,23.465383529663086,26.84423065185547
p1_fejer_g0.0_s99,fejer,0.0,99,0,2.941438674926758,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_fejer_g0.0_s99,fejer,0.0,99,50,26.658864974975586,25.32241439819336,22.705299377441406,26.658864974975586
p1_fejer_g0.0_s99,fejer,0.0,99,100,28.173479080200195,29.830129623413086,24.745920181274414,29.830129623413086
p1_fejer_g0.0_s99,fejer,0.0,99,199,28.167476654052734,30.132471084594727,24.60267448425293,30.132471084594727
p1_fejer_g0.1_s99,fejer,0.1,99,0,2.9267663955688477,2.903141498565674,2.983616828918457,2.983616828918457
p1_fejer_g0.1_s99,fejer,0.1,99,50,25.47983169555664,25.36067008972168,23.100263595581055,25.47983169555664
p1_fejer_g0.1_s99,fejer,0.1,99,100,25.63150405883789,26.7034969329834,23.272851943969727,26.7034969329834
p1_fejer_g0.1_s99,fejer,0.1,99,199,25.600759506225586,26.857852935791016,23.165700912475586,26.857852935791016
p1_fejer_g1.0_s99,fejer,1.0,99,0,3.1389126777648926,3.1132357120513916,3.0834712982177734,3.1389126777648926
p1_fejer_g1.0_s99,fejer,1.0,99,50,25.63551139831543,24.628082275390625,20.990413665771484,25.63551139831543
p1_fejer_g1.0_s99,fejer,1.0,99,100,26.140104293823242,26.238088607788086,21.34033966064453,26.238088607788086
p1_fejer_g1.0_s99,fejer,1.0,99,199,26.16549301147461,26.436542510986328,21.174823760986328,26.436542510986328
p1_fejer_g2.2_s99,fejer,2.2,99,0,5.234129428863525,5.2147698402404785,5.1961870193481445,5.234129428863525
p1_fejer_g2.2_s99,fejer,2.2,99,50,27.00178337097168,23.541481018066406,23.809019088745117,27.00178337097168
p1_fejer_g2.2_s99,fejer,2.2,99,100,28.06679916381836,26.195606231689453,25.215614318847656,28.06679916381836
p1_fejer_g2.2_s99,fejer,2.2,99,199,28.045116424560547,26.359708786010742,25.15247917175293,28.045116424560547
