run,kernel,gamma,seed,epoch,layer0,layer1,layer2,max_layer
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,0,2.941438674926758,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,50,24.86121940612793,24.406723022460938,22.02927589416504,24.86121940612793
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,100,25.177690505981445,25.493017196655273,22.34168243408203,25.493017196655273
p1_dirichlet_g0.0_s99,dirichlet,0.0,99,199,25.14534568786621,25.625337600708008,22.265745162963867,25.625337600708008
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,0,2.934366226196289,2.9107980728149414,2.991063117980957,2.991063117980957
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,50,25.49567222595215,24.543054580688477,22.89162254333496,25.49567222595215
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,100,26.2680721282959,29.157577514648438,25.455713272094727,29.157577514648438
p1_dirichlet_g0.1_s99,dirichlet,0.1,99,199,26.237401962280273,29.40092658996582,25.224468231201172,29.40092658996582
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,0,4.462793827056885,4.442740440368652,4.421952247619629,4.462793827056885
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,50,25.033422470092773,25.86654281616211,20.935718536376953,25.86654281616211
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,100,26.162883758544922,28.827007293701172,22.009754180908203,28.827007293701172
p1_dirichlet_g1.0_s99,dirichlet,1.0,99,199,26.08131980895996,29.169031143188477,21.858774185180664,29.169031143188477
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,0,9.307576179504395,9.29082202911377,9.278538703918457,9.307576179504395
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,50,24.658384323120117,28.228776931762695,25.774335861206055,28.228776931762695
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,100,26.390262603759766,31.972457885742188,27.88266372680664,31.972457885742188
p1_dirichlet_g2.2_s99,dirichlet,2.2,99,199,26.376611709594727,32.2747688293457,27.808147430419922,32.2747688293457
p1_uniform_g0.0_s99,uniform,0.0,99,0,2.941438674926758,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_uniform_g0.0_s99,uniform,0.0,99,50,28.494043350219727,25.01578712463379,22.20701789855957,28.494043350219727
p1_uniform_g0.0_s99,uniform,0.0,99,100,28.838279724121094,26.387195587158203,22.3037166595459,28.838279724121094
p1_uniform_g0.0_s99,uniform,0.0,99,199,28.863481521606445,26.56329345703125,22.190597534179688,28.863481521606445
p1_uniform_g0.1_s99,uniform,0.1,99,0,2.926511526107788,2.8988759517669678,2.976325035095215,2.976325035095215
p1_uniform_g0.1_s99,uniform,0.1,99,50,25.313852310180664,25.39415740966797,22.53307342529297,25.39415740966797
p1_uniform_g0.1_s99,uniform,0.1,99,100,27.689563751220703,31.195236206054688,25.555137634277344,31.195236206054688
p1_uniform_g0.1_s99,uniform,0.1,99,199,27.564464569091797,31.72281265258789,25.4195499420166,31.72281265258789
p1_uniform_g1.0_s99,uniform,1.0,99,0,2.8209362030029297,2.792168140411377,2.872164249420166,2.872164249420166
p1_uniform_g1.0_s99,uniform,1.0,99,50,25.922077178955078,25.221242904663086,21.69061851501465,25.922077178955078
p1_uniform_g1.0_s99,uniform,1.0,99,100,26.545076370239258,27.100725173950195,22.207637786865234,27.100725173950195
p1_uniform_g1.0_s99,uniform,1.0,99,199,26.53067398071289,27.205062866210938,22.006261825561523,27.205062866210938
p1_uniform_g2.2_s99,uniform,2.2,99,0,2.7670717239379883,2.7376983165740967,2.819058418273926,2.819058418273926
p1_uniform_g2.2_s99,uniform,2.2,99,50,26.386503219604492,24.64664649963379,23.00018310546875,26.386503219604492
p1_uniform_g2.2_s99,uniform,2.2,99,100,27.768871307373047,28.93423843383789,25.486541748046875,28.93423843383789
p1_uniform_g2.2_s99,uniform,2.2,99,199,27.715993881225586,29.1293888092041,25.200563430786133,29.1293888092041
p1_fejer_g0.0_s99,fejer,0.0,99,0,2.9414384365081787,2.913957357406616,2.9910590648651123,2.9910590648651123
p1_fejer_g0.0_s99,fejer,0.0,99,50,25.22276496887207,24.890548706054688,20.172353744506836,25.22276496887207
p1_fejer_g0.0_s99,fejer,0.0,99,100,25.404827117919922,25.924543380737305,20.337919235229492,25.924543380737305
p1_fejer_g0.0_s99,fejer,0.0,99,199,25.390090942382812,26.047080993652344,20.269105911254883,26.047080993652344
p1_fejer_g0.1_s99,fejer,0.1,99,0,2.9267663955688477,2.903141498565674,2.983616352081299,2.983616352081299
p1_fejer_g0.1_s99,fejer,0.1,99,50,25.688980102539062,26.009342193603516,22.048690795898438,26.009342193603516
p1_fejer_g0.1_s99,fejer,0.1,99,100,27.136690139770508,31.06993865966797,24.842514038085938,31.06993865966797
p1_fejer_g0.1_s99,fejer,0.1,99,199,27.112642288208008,31.772968292236328,24.985994338989258,31.772968292236328
