run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring24_e0.5_dirichlet_g0.01_L8_s0,24,12,dirichlet,0.01,8,2,0.5,32,0,0.232,0.21,0.2,299,0,-1
ring24_e0.5_dirichlet_g0.01_L12_s0,24,12,dirichlet,0.01,12,2,0.5,32,0,0.232,0.21,0.2,74,0,-1
ring24_e0.5_dirichlet_g0.01_L16_s0,24,12,dirichlet,0.01,16,2,0.5,32,0,0.232,0.21,0.2,39,0,-1
ring24_e0.5_dirichlet_g0.01_L20_s0,24,12,dirichlet,0.01,20,2,0.5,32,0,0.232,0.21,0.2,160,0,-1
ring24_e0.5_dirichlet_g0.01_L24_s0,24,12,dirichlet,0.01,24,2,0.5,32,0,0.232,0.21,0.2,37,0,-1
ring24_e0.5_uniform_g1.25_L8_s0,24,12,uniform,1.25,8,2,0.5,32,0,0.15,0.192,0.2,299,0,-1
ring24_e0.5_uniform_g1.25_L12_s0,24,12,uniform,1.25,12,2,0.5,32,0,0.2,0.208,0.2,2,0,-1
ring24_e0.5_uniform_g1.25_L16_s0,24,12,uniform,1.25,16,2,0.5,32,0,0.232,0.21,0.2,11,0,-1
ring24_e0.5_uniform_g1.25_L20_s0,24,12,uniform,1.25,20,2,0.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e0.5_uniform_g1.25_L24_s0,24,12,uniform,1.25,24,2,0.5,32,0,1.0,1.0,0.2,299,0,-1
ring24_e0.5_fejer_g1.25_L8_s0,24,12,fejer,1.25,8,2,0.5,32,0,0.2,0.208,0.2,4,0,-1
ring24_e0.5_fejer_g1.25_L12_s0,24,12,fejer,1.25,12,2,0.5,32,0,0.2,0.208,0.2,7,0,-1
ring24_e0.5_fejer_g1.25_L16_s0,24,12,fejer,1.25,16,2,0.5,32,0,0.2,0.208,0.2,5,0,-1
ring24_e0.5_fejer_g1.25_L20_s0,24,12,fejer,1.25,20,2,0.5,32,0,0.582,0.61,0.2,168,0,-1
ring24_e0.5_fejer_g1.25_L24_s0,24,12,fejer,1.25,24,2,0.5,32,0,0.554,0.588,0.2,61,0,-1
