run,ring,req_depth,kernel,gamma,num_layers,K,epsilon,hidden,seed,test_acc,best_val_acc,chance,best_epoch,diverged,diverged_epoch
ring16_e2.5_dirichlet_g0.01_L2_s2,16,8,dirichlet,0.01,2,2,2.5,32,2,0.208,0.22,0.2,293,0,-1
ring16_e2.5_dirichlet_g0.01_L4_s2,16,8,dirichlet,0.01,4,2,2.5,32,2,0.208,0.22,0.2,299,0,-1
ring16_e2.5_dirichlet_g0.01_L6_s2,16,8,dirichlet,0.01,6,2,2.5,32,2,0.208,0.22,0.2,296,0,-1
ring16_e2.5_dirichlet_g0.01_L8_s2,16,8,dirichlet,0.01,8,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_dirichlet_g0.01_L10_s2,16,8,dirichlet,0.01,10,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_dirichlet_g0.01_L12_s2,16,8,dirichlet,0.01,12,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_dirichlet_g0.01_L16_s2,16,8,dirichlet,0.01,16,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_uniform_g1.25_L2_s2,16,8,uniform,1.25,2,2,2.5,32,2,0.208,0.22,0.2,293,0,-1
ring16_e2.5_uniform_g1.25_L4_s2,16,8,uniform,1.25,4,2,2.5,32,2,0.208,0.22,0.2,299,0,-1
ring16_e2.5_uniform_g1.25_L6_s2,16,8,uniform,1.25,6,2,2.5,32,2,0.208,0.22,0.2,296,0,-1
ring16_e2.5_uniform_g1.25_L8_s2,16,8,uniform,1.25,8,2,2.5,32,2,0.414,0.42,0.2,63,0,-1
ring16_e2.5_uniform_g1.25_L10_s2,16,8,uniform,1.25,10,2,2.5,32,2,1.0,1.0,0.2,115,0,-1
ring16_e2.5_uniform_g1.25_L12_s2,16,8,uniform,1.25,12,2,2.5,32,2,0.8,0.812,0.2,141,0,-1
ring16_e2.5_uniform_g1.25_L16_s2,16,8,uniform,1.25,16,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L2_s2,16,8,fejer,1.25,2,2,2.5,32,2,0.208,0.22,0.2,293,0,-1
ring16_e2.5_fejer_g1.25_L4_s2,16,8,fejer,1.25,4,2,2.5,32,2,0.208,0.22,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L6_s2,16,8,fejer,1.25,6,2,2.5,32,2,0.208,0.22,0.2,296,0,-1
ring16_e2.5_fejer_g1.25_L8_s2,16,8,fejer,1.25,8,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L10_s2,16,8,fejer,1.25,10,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L12_s2,16,8,fejer,1.25,12,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
ring16_e2.5_fejer_g1.25_L16_s2,16,8,fejer,1.25,16,2,2.5,32,2,1.0,1.0,0.2,299,0,-1
