run,kernel,gamma,seed,epoch,layer0,layer1,layer2,layer3,layer4,layer5,max_layer
depth_L6_dirichlet_g0.1_s99,dirichlet,0.1,99,0,2.93436598777771,2.9107980728149414,2.991063356399536,2.9493155479431152,2.8568918704986572,2.959360361099243,2.991063356399536
depth_L6_dirichlet_g0.1_s99,dirichlet,0.1,99,50,24.213903427124023,27.453672409057617,27.190677642822266,26.204124450683594,22.94257926940918,20.53990364074707,27.453672409057617
depth_L6_dirichlet_g0.1_s99,dirichlet,0.1,99,100,25.33312225341797,31.602937698364258,27.748149871826172,29.899259567260742,26.611099243164062,25.80620765686035,31.602937698364258
depth_L6_dirichlet_g0.1_s99,dirichlet,0.1,99,199,25.25123405456543,31.880428314208984,27.411705017089844,29.8458251953125,26.647783279418945,26.09670066833496,31.880428314208984
