run,kernel,gamma,seed,epoch,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,max_layer
depth_L16_fejer_g2.2_s99,fejer,2.2,99,0,5.234129428863525,5.21476936340332,5.1961870193481445,5.269895553588867,5.215216159820557,5.2595672607421875,5.204781532287598,5.26201057434082,5.198455810546875,5.226499557495117,5.210422515869141,5.2123260498046875,5.18350887298584,5.216219425201416,5.201706886291504,5.248082637786865,5.269895553588867
depth_L16_fejer_g2.2_s99,fejer,2.2,99,50,23.840045928955078,25.646238327026367,26.522741317749023,23.462570190429688,18.85837745666504,15.535124778747559,12.208840370178223,11.845357894897461,11.586688041687012,10.725909233093262,9.863308906555176,10.50805950164795,9.669306755065918,10.363102912902832,10.048626899719238,10.65701961517334,26.522741317749023
depth_L16_fejer_g2.2_s99,fejer,2.2,99,100,24.651182174682617,28.17764663696289,26.595230102539062,25.236162185668945,21.354034423828125,18.812299728393555,14.153934478759766,14.060766220092773,14.142069816589355,12.375946998596191,11.907257080078125,12.437520027160645,11.349872589111328,11.71126937866211,11.223340034484863,13.180890083312988,28.17764663696289
depth_L16_fejer_g2.2_s99,fejer,2.2,99,199,24.623933792114258,28.37798500061035,26.196325302124023,25.01404571533203,21.330060958862305,19.066038131713867,14.078157424926758,13.88086986541748,14.43507194519043,12.49700927734375,12.086760520935059,12.492878913879395,11.397872924804688,11.532965660095215,10.998400688171387,13.411686897277832,28.37798500061035
