run,kernel,gamma,seed,epoch,layer0,layer1,layer2,layer3,layer4,layer5,max_layer
depth_L6_uniform_g2.2_s99,uniform,2.2,99,0,2.7670719623565674,2.737698554992676,2.819058656692505,2.83662748336792,2.7371976375579834,2.8194191455841064,2.83662748336792
depth_L6_uniform_g2.2_s99,uniform,2.2,99,50,26.644319534301758,25.063783645629883,25.599624633789062,26.760177612304688,22.4083251953125,21.30036735534668,26.760177612304688
depth_L6_uniform_g2.2_s99,uniform,2.2,99,100,27.741981506347656,27.857160568237305,25.183340072631836,28.46371078491211,24.98932456970215,23.880599975585938,28.46371078491211
depth_L6_uniform_g2.2_s99,uniform,2.2,99,199,27.688081741333008,28.060792922973633,24.790191650390625,28.143526077270508,24.969680786132812,23.885393142700195,28.143526077270508
