run,kernel,gamma,seed,epoch,layer0,layer1,layer2,max_layer
depth_L3_uniform_g2.2_s99,uniform,2.2,99,0,2.7670719623565674,2.7376983165740967,2.819058418273926,2.819058418273926
depth_L3_uniform_g2.2_s99,uniform,2.2,99,50,23.48680305480957,25.766023635864258,23.431486129760742,25.766023635864258
depth_L3_uniform_g2.2_s99,uniform,2.2,99,100,24.914012908935547,29.192808151245117,25.380910873413086,29.192808151245117
depth_L3_uniform_g2.2_s99,uniform,2.2,99,199,24.953798294067383,29.39960289001465,25.127361297607422,29.39960289001465
