run,kernel,gamma,seed,epoch,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,max_layer
depth_L10_dirichlet_g0.1_s99,dirichlet,0.1,99,0,2.93436598777771,2.9107978343963623,2.991063117980957,2.9493155479431152,2.8568918704986572,2.9593605995178223,2.911017656326294,2.9112000465393066,3.0358896255493164,2.8650572299957275,3.0358896255493164
depth_L10_dirichlet_g0.1_s99,dirichlet,0.1,99,50,29.099994659423828,25.26426124572754,38.0921516418457,43.4559440612793,37.25373077392578,34.52220153808594,33.993228912353516,31.017623901367188,23.642662048339844,32.229766845703125,43.4559440612793
depth_L10_dirichlet_g0.1_s99,dirichlet,0.1,99,100,30.651025772094727,29.262361526489258,36.124542236328125,50.480628967285156,45.58913803100586,43.188716888427734,39.08763122558594,38.06790542602539,32.65750503540039,39.253883361816406,50.480628967285156
depth_L10_dirichlet_g0.1_s99,dirichlet,0.1,99,199,30.556690216064453,29.931625366210938,35.267112731933594,50.36188507080078,45.61306381225586,44.354530334472656,40.333106994628906,39.997314453125,33.84994125366211,39.96261215209961,50.36188507080078
